Sl No,Tran Date,Dr/Cr,Amount
1,19-10-2015,Debit,350000.0
2,21-10-2015,Debit,1000.0
3,01-01-2000,Debit,2000000.0
4,24-10-2015,Debit,375000.0
5,01-01-2000,Credit,1.0
6,24-10-2015,Debit,975000.0
7,30-10-2015,Debit,5000.0
8,01-01-2000,Credit,5000.0
9,31-10-2015,Debit,839.0
10,01-01-2000,Debit,2000000.0
11,02-11-2015,Debit,2700000.0
12,04-11-2015,Credit,100.0
13,01-01-2000,Debit,389.0
14,08-11-2015,Debit,18770.0
15,14-11-2015,Debit,600000.0
16,18-11-2015,Debit,250000.0
17,19-11-2015,Debit,1498.0
18,20-11-2015,Debit,839.0
19,01-01-2000,Credit,1.0
20,21-11-2015,Debit,10000.0
21,22-11-2015,Debit,240000.0
22,24-11-2015,Debit,998.0
23,25-11-2015,Debit,10003.0
24,01-01-2000,Debit,45012.0
25,26-11-2015,Debit,2940.0
26,27-11-2015,Credit,1498.0
27,01-01-2000,Debit,1000.0
28,28-11-2015,Debit,787714.0
29,29-11-2015,Debit,7502.0
30,30-11-2015,Debit,779.0
31,01-12-2015,Debit,15000.0
32,01-01-2000,Debit,15000.0
33,01-01-2000,Debit,595.0
